date,count
1-Jan-15,1
1-Jan-16,1
10-Jan-16,1
11-Jan-15,2
11-Jan-16,5
12-Jan-15,1
12-Jan-16,1
13-Jan-15,2
13-Jan-16,2
14-Jan-15,7
14-Jan-16,2
15-Jan-15,6
15-Jan-16,2
16-Jan-15,7
16-Jan-16,5
17-Jan-15,3
17-Jan-16,6
18-Jan-15,2
18-Jan-16,6
19-Jan-15,1
19-Jan-16,4
2-Jan-15,2
2-Jan-16,3
20-Jan-16,3
21-Jan-15,5
21-Jan-16,1
22-Jan-15,2
22-Jan-16,2
23-Jan-15,3
23-Jan-16,1
24-Jan-15,2
25-Jan-15,2
25-Jan-16,3
26-Jan-15,5
26-Jan-16,1
27-Jan-15,3
27-Jan-16,7
28-Jan-15,4
28-Jan-16,3
29-Jan-15,2
29-Jan-16,4
3-Jan-15,2
3-Jan-16,1
30-Jan-15,3
30-Jan-16,4
31-Jan-15,2
31-Jan-16,5
4-Jan-15,2
4-Jan-16,2
5-Jan-15,3
5-Jan-16,6
6-Jan-15,5
6-Jan-16,1
7-Jan-15,5
7-Jan-16,2
8-Jan-15,5
8-Jan-16,2
9-Jan-15,2
9-Jan-16,1
10-Oct-15,4
11-Oct-15,4
12-Oct-15,2
14-Oct-15,5
15-Oct-15,8
16-Oct-15,4
17-Oct-15,4
18-Oct-15,2
19-Oct-15,1
2-Oct-15,4
20-Oct-15,6
21-Oct-15,4
22-Oct-15,2
23-Oct-15,2
24-Oct-15,8
26-Oct-15,4
27-Oct-15,2
28-Oct-15,4
29-Oct-15,3
3-Oct-15,1
30-Oct-15,5
31-Oct-15,2
4-Oct-15,2
5-Oct-15,3
6-Oct-15,1
7-Oct-15,1
9-Oct-15,3
1-Nov-15,4
10-Nov-15,4
11-Nov-15,5
12-Nov-15,1
13-Nov-15,3
14-Nov-15,2
15-Nov-15,4
16-Nov-15,2
17-Nov-15,7
18-Nov-15,2
19-Nov-15,4
2-Nov-15,2
20-Nov-15,3
21-Nov-15,1
22-Nov-15,3
23-Nov-15,2
24-Nov-15,3
25-Nov-15,4
27-Nov-15,1
28-Nov-15,1
29-Nov-15,5
3-Nov-15,1
30-Nov-15,3
4-Nov-15,4
5-Nov-15,4
6-Nov-15,4
9-Nov-15,5
1-Dec-15,2
10-Dec-15,4
11-Dec-15,1
12-Dec-15,7
13-Dec-15,4
14-Dec-15,8
15-Dec-15,1
16-Dec-15,1
17-Dec-15,2
18-Dec-15,4
19-Dec-15,1
2-Dec-15,6
20-Dec-15,3
21-Dec-15,8
22-Dec-15,4
23-Dec-15,1
24-Dec-15,5
25-Dec-15,1
26-Dec-15,4
27-Dec-15,2
28-Dec-15,1
29-Dec-15,2
3-Dec-15,4
30-Dec-15,2
31-Dec-15,1
4-Dec-15,1
5-Dec-15,5
6-Dec-15,3
8-Dec-15,3
9-Dec-15,3
1-Feb-16,1
10-Feb-15,5
10-Feb-16,5
11-Feb-15,2
11-Feb-16,4
12-Feb-16,4
13-Feb-15,4
13-Feb-16,4
14-Feb-15,1
14-Feb-16,3
15-Feb-15,6
15-Feb-16,3
16-Feb-15,2
16-Feb-16,3
17-Feb-15,5
17-Feb-16,1
18-Feb-16,5
19-Feb-15,1
19-Feb-16,2
2-Feb-15,4
2-Feb-16,4
20-Feb-15,3
20-Feb-16,4
21-Feb-15,3
21-Feb-16,4
22-Feb-15,3
22-Feb-16,5
23-Feb-15,4
23-Feb-16,4
24-Feb-15,2
24-Feb-16,6
25-Feb-15,3
25-Feb-16,4
26-Feb-15,4
26-Feb-16,2
27-Feb-15,3
27-Feb-16,1
28-Feb-15,5
28-Feb-16,2
29-Feb-16,1
3-Feb-15,5
3-Feb-16,4
4-Feb-15,6
4-Feb-16,5
5-Feb-15,3
5-Feb-16,6
6-Feb-15,1
6-Feb-16,3
7-Feb-15,2
7-Feb-16,2
8-Feb-15,2
8-Feb-16,3
9-Feb-15,3
9-Feb-16,4
1-Mar-15,5
1-Mar-16,3
10-Mar-15,6
10-Mar-16,5
11-Mar-15,6
11-Mar-16,5
12-Mar-15,3
12-Mar-16,5
13-Mar-15,5
13-Mar-16,6
14-Mar-15,2
14-Mar-16,1
15-Mar-15,2
15-Mar-16,3
16-Mar-15,3
16-Mar-16,6
17-Mar-15,7
17-Mar-16,4
18-Mar-15,3
18-Mar-16,1
19-Mar-15,7
19-Mar-16,5
2-Mar-15,2
2-Mar-16,2
20-Mar-15,3
20-Mar-16,4
21-Mar-15,4
21-Mar-16,3
22-Mar-15,4
22-Mar-16,2
23-Mar-15,1
23-Mar-16,3
24-Mar-15,5
24-Mar-16,6
25-Mar-15,2
26-Mar-15,2
26-Mar-16,5
27-Mar-15,8
27-Mar-16,4
28-Mar-16,1
29-Mar-15,2
29-Mar-16,3
3-Mar-15,2
3-Mar-16,2
30-Mar-15,6
30-Mar-16,2
31-Mar-15,3
31-Mar-16,4
4-Mar-15,2
4-Mar-16,2
5-Mar-15,3
5-Mar-16,2
6-Mar-15,6
6-Mar-16,3
7-Mar-15,1
7-Mar-16,6
8-Mar-15,3
8-Mar-16,1
9-Mar-15,5
1-Apr-15,2
1-Apr-16,2
10-Apr-15,2
10-Apr-16,4
11-Apr-15,1
11-Apr-16,2
12-Apr-15,4
12-Apr-16,3
13-Apr-15,2
13-Apr-16,3
14-Apr-15,3
14-Apr-16,1
15-Apr-15,7
15-Apr-16,4
16-Apr-15,3
16-Apr-16,1
17-Apr-15,3
17-Apr-16,5
18-Apr-15,2
18-Apr-16,2
19-Apr-15,3
19-Apr-16,3
2-Apr-15,5
2-Apr-16,1
20-Apr-15,1
20-Apr-16,3
21-Apr-15,8
21-Apr-16,1
22-Apr-15,5
22-Apr-16,2
23-Apr-15,4
23-Apr-16,5
24-Apr-15,2
24-Apr-16,1
25-Apr-15,4
25-Apr-16,2
26-Apr-15,3
26-Apr-16,4
27-Apr-15,1
27-Apr-16,3
28-Apr-15,4
28-Apr-16,4
29-Apr-15,3
29-Apr-16,2
3-Apr-15,3
3-Apr-16,3
30-Apr-15,5
30-Apr-16,3
4-Apr-15,5
4-Apr-16,2
5-Apr-16,2
6-Apr-15,5
6-Apr-16,4
7-Apr-15,1
7-Apr-16,3
8-Apr-15,7
8-Apr-16,3
9-Apr-15,4
9-Apr-16,2
1-May-16,2
10-May-15,2
10-May-16,2
11-May-15,3
11-May-16,4
12-May-15,4
13-May-15,2
13-May-16,4
14-May-15,2
14-May-16,4
15-May-15,3
15-May-16,1
16-May-16,3
17-May-15,4
17-May-16,1
18-May-16,3
19-May-15,5
19-May-16,5
2-May-15,1
2-May-16,1
20-May-15,4
20-May-16,2
21-May-15,5
21-May-16,3
22-May-15,1
22-May-16,4
23-May-15,3
23-May-16,1
24-May-16,3
25-May-15,4
25-May-16,3
26-May-15,3
26-May-16,7
27-May-15,6
27-May-16,1
28-May-15,4
28-May-16,4
29-May-15,4
29-May-16,5
3-May-15,4
3-May-16,1
30-May-15,2
30-May-16,2
31-May-15,4
31-May-16,1
4-May-15,2
4-May-16,4
5-May-15,2
5-May-16,3
6-May-15,3
6-May-16,1
7-May-15,4
7-May-16,4
8-May-15,5
8-May-16,1
9-May-16,5
1-Jun-15,2
1-Jun-16,3
10-Jun-15,1
10-Jun-16,4
11-Jun-15,5
11-Jun-16,2
12-Jun-15,2
12-Jun-16,3
13-Jun-15,6
13-Jun-16,4
14-Jun-15,2
14-Jun-16,4
15-Jun-15,2
15-Jun-16,2
16-Jun-15,3
16-Jun-16,4
17-Jun-15,3
18-Jun-15,1
18-Jun-16,3
19-Jun-15,3
19-Jun-16,3
2-Jun-15,1
2-Jun-16,2
20-Jun-15,2
20-Jun-16,2
21-Jun-15,3
21-Jun-16,3
22-Jun-15,4
22-Jun-16,6
23-Jun-15,4
23-Jun-16,3
24-Jun-15,1
24-Jun-16,5
25-Jun-15,2
25-Jun-16,3
26-Jun-15,2
26-Jun-16,4
27-Jun-15,1
27-Jun-16,5
28-Jun-15,2
28-Jun-16,2
29-Jun-15,1
29-Jun-16,3
3-Jun-15,6
3-Jun-16,3
30-Jun-15,1
30-Jun-16,4
4-Jun-15,1
4-Jun-16,3
5-Jun-15,3
5-Jun-16,2
6-Jun-15,5
6-Jun-16,2
7-Jun-15,1
7-Jun-16,4
8-Jun-15,6
8-Jun-16,2
9-Jun-15,4
9-Jun-16,5
1-Jul-15,3
1-Jul-16,3
10-Jul-15,3
11-Jul-15,2
12-Jul-15,6
13-Jul-15,5
14-Jul-15,3
15-Jul-15,1
16-Jul-15,7
17-Jul-15,5
18-Jul-15,5
19-Jul-15,1
2-Jul-15,5
2-Jul-16,2
20-Jul-15,5
21-Jul-15,3
22-Jul-15,5
23-Jul-15,5
24-Jul-15,2
25-Jul-15,4
26-Jul-15,2
27-Jul-15,3
28-Jul-15,3
29-Jul-15,3
3-Jul-15,4
3-Jul-16,3
30-Jul-15,3
31-Jul-15,3
4-Jul-15,5
4-Jul-16,5
5-Jul-15,5
5-Jul-16,4
6-Jul-15,7
6-Jul-16,3
7-Jul-15,7
7-Jul-16,4
8-Jul-15,3
9-Jul-15,6
1-Aug-15,4
10-Aug-15,2
11-Aug-15,3
12-Aug-15,5
13-Aug-15,1
14-Aug-15,4
15-Aug-15,4
16-Aug-15,3
17-Aug-15,2
19-Aug-15,4
20-Aug-15,3
21-Aug-15,4
22-Aug-15,5
23-Aug-15,5
25-Aug-15,5
26-Aug-15,2
27-Aug-15,4
28-Aug-15,5
29-Aug-15,3
3-Aug-15,4
30-Aug-15,2
31-Aug-15,3
4-Aug-15,2
5-Aug-15,6
6-Aug-15,3
7-Aug-15,6
8-Aug-15,5
9-Aug-15,3
1-Sep-15,4
10-Sep-15,5
11-Sep-15,2
12-Sep-15,2
13-Sep-15,4
14-Sep-15,2
15-Sep-15,3
16-Sep-15,2
17-Sep-15,2
18-Sep-15,4
19-Sep-15,1
2-Sep-15,1
20-Sep-15,3
21-Sep-15,8
22-Sep-15,4
23-Sep-15,5
24-Sep-15,4
25-Sep-15,3
26-Sep-15,4
27-Sep-15,3
28-Sep-15,2
29-Sep-15,3
3-Sep-15,2
30-Sep-15,1
4-Sep-15,5
5-Sep-15,5
6-Sep-15,4
7-Sep-15,3
